,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
110,Midnight (feat. Liam Payne),Midnight (feat. Liam Payne),Alesso,2020-04-08,220140,68,0.587,0.0561,0.587,0.648,0.0,0.115,-6.927,0.0439,144.028,4
111,Ei Tudo Bem,Ei Tudo Bem,MC Zaquin,2021-04-23,117692,1,0.807,0.691,0.807,0.533,0.0,0.403,-5.695,0.0344,129.966,4
112,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",KHALED KHALED,DJ Khaled,2021-04-30,165366,70,0.757,0.00196,0.757,0.721,0.0,0.647,-2.906,0.0691,124.036,4
113,Imagination,Imagination,Foster The People,2019-06-21,256266,71,0.744,0.115,0.744,0.642,3.95e-05,0.279,-4.6,0.031,94.988,4
114,Cradles,Cradles,Sub Urban,2019-01-04,209829,76,0.581,0.27,0.581,0.585,6.48e-05,0.179,-1.87,0.369,67.443,3
115,Shy Away,Choker,Twenty One Pilots,2021-04-30,175044,0,0.588,0.000818,0.588,0.856,0.0739,0.238,-5.242,0.0316,96.966,4
116,Choker,Choker,Twenty One Pilots,2021-04-30,223065,0,0.7,0.306,0.7,0.664,1.89e-05,0.249,-8.211,0.0394,142.009,4
117,Treat You Better,Treat You Better,Shawn Mendes,2016-06-03,187973,0,0.448,0.128,0.448,0.817,0.0,0.105,-4.069,0.386,83.015,4
118,Dick (feat. Doja Cat),Dick (feat. Doja Cat),StarBoi3,2021-04-23,175238,75,0.647,0.13,0.647,0.608,0.0,0.0584,-6.831,0.42,125.994,4
119,Coringa,Coringa,Jão,2021-02-25,187080,54,0.73,0.0315,0.73,0.566,0.0,0.191,-5.399,0.0503,96.952,4
120,Tipo Gin - Ao Vivo,Todo Mundo Ama O Chris (Ao Vivo),MC Kevin o Chris,2021-04-09,159146,66,0.75,0.78,0.75,0.668,3.13e-06,0.338,-4.49,0.061,94.998,4
121,Fake A Smile,Fake A Smile,Alan Walker,2021-02-19,168118,64,0.447,0.212,0.447,0.553,0.0,0.165,-4.817,0.0322,149.877,4
122,Met Him Last Night (feat. Ariana Grande),Dancing With The Devil…The Art of Starting Over,Demi Lovato,2021-04-02,204631,62,0.538,0.22,0.538,0.512,0.0,0.101,-4.548,0.0262,144.978,4
123,As I Am (feat. Khalid),Justice,Justin Bieber,2021-03-19,174406,65,0.608,0.131,0.608,0.547,0.0,0.0974,-8.151,0.0368,99.947,4
124,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),Saweetie,2021-01-07,155883,77,0.84,0.00302,0.84,0.766,3.61e-06,0.0684,-4.12,0.136,94.018,4
125,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,84,0.762,0.235,0.762,0.701,0.000158,0.123,-3.541,0.0286,110.968,4
126,Sacrifice,Sacrifice,Bebe Rexha,2021-03-05,160871,67,0.659,0.0878,0.659,0.877,0.0,0.094,-5.089,0.0288,119.992,4
127,Rave Timber,Rave Timber,DJ Vitti,2020-09-18,180923,26,0.797,0.114,0.797,0.528,0.000275,0.0864,-6.89,0.0549,130.012,4
128,Far Away From Home (feat. Leony),Far Away From Home (feat. Leony),Sam Feldt,2020-06-12,163200,66,0.595,0.58,0.595,0.752,0.0,0.105,-5.232,0.097,199.971,4
129,Safe With Me (with Audrey Mika),Safe With Me (with Audrey Mika),Gryffin,2020-11-19,205164,71,0.497,0.0449,0.497,0.757,0.0,0.119,-4.189,0.127,169.902,4
130,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,2021-01-15,169153,84,0.824,0.0076,0.824,0.862,0.000132,0.303,-3.424,0.126,122.98,4
131,Kikadão,Kikadão,Boyzinho o Rei da Bregadeira,2021-03-19,198181,40,0.861,0.175,0.861,0.844,0.00232,0.104,-2.789,0.0549,132.01,4
132,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,2021-01-21,153865,72,0.749,0.0209,0.749,0.674,0.0,0.169,-5.128,0.0366,123.055,4
133,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-26,137875,7,0.61,0.297,0.61,0.508,0.0,0.384,-6.682,0.152,178.818,4
134,BEAT DO AKON (Funk Remix),BEAT DO AKON (Funk Remix),Dj Vm,2021-01-25,130912,57,0.725,0.0639,0.725,0.546,7.25e-06,0.105,-5.217,0.0658,132.099,4
135,Vou Falar Que Não Quero - Remix,Vou Falar Que Não Quero (Remix),DJ Lucas Beat,2021-03-12,151068,65,0.825,0.654,0.825,0.573,9.83e-06,0.11,-3.778,0.0727,134.059,4
136,Follow You,Follow You / Cutthroat,Imagine Dragons,2021-03-12,175643,73,0.542,0.00209,0.542,0.732,7.92e-05,0.496,-5.956,0.0521,124.912,4
137,Prepara (Loirinha do Mal),Prepara (Loirinha do Mal),Niack,2021-02-19,149226,30,0.909,0.227,0.909,0.874,0.0,0.0809,-2.185,0.0726,134.956,4
138,Bloqueia Eu - Remix,Bloqueia Eu (Remix),DJ Lucas Beat,2021-02-12,129908,62,0.61,0.839,0.61,0.688,4.3e-06,0.222,-4.423,0.0793,129.306,4
139,Mandelão do Akon,Mandelão do Akon,JC NO BEAT,2021-03-19,165804,14,0.948,0.0255,0.948,0.765,0.000118,0.0655,0.249,0.0917,132.087,4
140,Não Nasceu pra Namorar,Não Nasceu pra Namorar,MC Zaquin,2021-02-25,140307,71,0.525,0.14,0.525,0.448,0.0,0.0922,-4.075,0.0443,83.406,4
141,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,87,0.677,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,90.03,4
142,Don't Play,Don't Play,Anne-Marie,2021-01-15,188580,63,0.695,0.0889,0.695,0.784,0.0,0.0843,-6.564,0.0402,128.031,4
143,cheers (with Wiz Khalifa),cheers (with Wiz Khalifa),blackbear,2020-12-25,201009,3,0.795,0.0509,0.795,0.642,0.0,0.17,-4.431,0.0288,97.999,4
144,Patience (feat. YUNGBLUD & Polo G),Patience (feat. YUNGBLUD & Polo G),KSI,2021-03-12,181720,62,0.616,0.00251,0.616,0.741,0.0,0.307,-4.272,0.0426,122.012,4
145,Glad You Exist,Glad You Exist,Dan + Shay,2021-02-05,144533,71,0.748,0.235,0.748,0.551,0.0,0.119,-6.12,0.0349,103.953,4
146,Fly Away,Fly Away,Tones And I,2020-11-13,178156,70,0.806,0.217,0.806,0.513,0.0,0.217,-6.208,0.0685,124.988,4
147,Where The Lights Are Low,Where The Lights Are Low,Toby Romeo,2021-01-22,136995,72,0.759,0.448,0.759,0.807,0.0,0.105,-5.812,0.122,123.904,4
148,Last Resort,Infest,Papa Roach,2001-04-25,199906,80,0.589,0.000481,0.589,0.89,0.00082,0.201,-3.719,0.0603,90.598,4
149,Medicine,Medicine,James Arthur,2021-03-05,208906,61,0.306,0.232,0.306,0.74,0.0,0.0892,-4.521,0.0532,98.3,5
150,"Eu Caçava as Puta, Agora as Puta Que Me Caça (feat. Mc Topre)","Eu Caçava as Puta, Agora as Puta Que Me Caça (feat. Mc Topre)",Two Maloka,2020-12-01,163677,47,0.953,0.228,0.953,0.666,1.58e-06,0.838,-4.968,0.209,130.023,4
151,Rave Slow Down,Eae DJ Topo,DJ TOPO,2020-07-24,241846,37,0.896,0.084,0.896,0.6,4.5e-05,0.244,-6.083,0.182,130.041,4
152,Mega Funk Toma Tapão,Mega Funk Toma Tapão,DJ Luan Mark,2020-06-04,404427,38,0.923,0.183,0.923,0.758,0.074,0.441,-5.795,0.0683,129.999,4
153,Cover Me In Sunshine,Cover Me In Sunshine,P!nk,2021-02-12,141050,76,0.476,0.0599,0.476,0.594,0.0,0.0785,-6.879,0.135,159.702,4
154,Bandida,111 DELUXE,Pabllo Vittar,2020-11-26,146543,59,0.9,0.192,0.9,0.606,1.58e-06,0.0649,-6.003,0.184,134.986,4
155,Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,212093,76,0.673,0.196,0.673,0.704,0.0,0.0898,-8.056,0.36,86.919,4
156,What Other People Say,What Other People Say,Sam Fischer,2021-02-04,194890,73,0.652,0.158,0.652,0.472,0.0,0.121,-8.084,0.0399,126.904,4
157,Tcheca,Epica,Danny Bond,2017-12-22,178739,47,0.71,0.377,0.71,0.922,1.33e-05,0.633,-6.296,0.0627,90.028,4
